Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,69.800003,71.599998,69.449997,69.680000,68.851860,1534000
2022-09-27,71.180000,72.099998,69.940002,70.760002,69.919029,1654100
2022-09-28,70.169998,72.989998,69.830002,72.639999,71.776680,1467100
2022-09-29,72.660004,72.660004,69.830002,70.709999,70.198189,1592800
2022-09-30,70.760002,72.529999,70.050003,70.949997,70.436447,1377000
2022-10-03,72.059998,75.940002,72.059998,75.389999,74.844315,1337300
2022-10-04,76.099998,78.120003,75.930000,78.019997,77.455276,1428900
2022-10-05,77.120003,78.430000,76.550003,77.830002,77.266655,1248000
2022-10-06,78.320000,79.570000,76.870003,77.139999,76.581642,2077200
2022-10-07,77.040001,77.500000,75.389999,75.889999,75.340698,1143900
2022-10-10,77.150002,78.239998,76.599998,77.720001,77.157455,1082900
2022-10-11,76.589996,80.639999,76.349998,79.110001,78.537384,1874100
2022-10-12,79.120003,79.970001,78.029999,78.870003,78.299133,1182800
2022-10-13,76.680000,81.820000,75.769997,81.019997,80.433556,1787100
2022-10-14,80.889999,81.080002,77.540001,78.059998,77.494987,1217400
2022-10-17,79.029999,81.330002,78.970001,80.019997,79.440796,1404700
2022-10-18,81.480003,82.980003,80.660004,81.739998,81.148346,1176800
2022-10-19,81.730003,82.860001,80.160004,80.680000,80.096024,1616600
2022-10-20,80.669998,87.190002,80.000000,85.650002,85.030052,2643900
2022-10-21,86.169998,93.290001,86.080002,92.919998,92.247429,3819600
2022-10-24,92.739998,96.480003,92.550003,96.260002,95.563255,3290000
2022-10-25,94.879997,97.879997,94.320000,97.709999,97.002754,2244300
2022-10-26,97.970001,100.389999,96.419998,98.040001,97.330368,2136900
2022-10-27,98.029999,98.739998,96.099998,97.470001,96.764496,2182700
2022-10-28,95.989998,97.220001,94.070000,94.430000,93.746506,2383300
2022-10-31,93.669998,95.290001,92.870003,94.050003,93.369255,1677900
2022-11-01,96.370003,97.019997,92.870003,96.709999,96.009995,1599400
